"case","dir","pretest","conftest","indtest","c12","c21","hill1","hill2","p_val","beta1","beta_h1","beta_h2","dirH","pretestH","conftestH","c12H","c21H","df1","df2","dfh"
3,1,1,0,0,0.716523076923077,0.4839,0.417554217687482,0.419583467125032,0.938898456422463,0.136343019641936,0.460795863159001,0.725748910941184,NA,NA,NA,NA,NA,3,3,4
2,1,0,1,0,0.734428205128205,0.656320512820513,0.332093253785616,0.317017415653946,0.462794673560782,0.808046029508114,0.713116046600044,0.558767589554191,1,0,1,0.638978323395663,0.587634208715268,4,4,4
1,2,0,0,1,0.44351282051282,0.557328205128205,0.542281492819415,0.377750412989657,2.59390848800223e-08,0.800902657210827,0.792980177141726,0.361083942838013,NA,NA,NA,NA,NA,3,2,3
2,1,0,1,0,0.760379487179487,0.701592307692308,0.346594306839523,0.346731729947698,0.994998969922303,0.403410512767732,0.721816021203995,0.803148183599114,1,0,1,0.66710600685511,0.608047791188897,3,3,3
1,1,0,0,1,0.486161538461538,0.474369230769231,0.377052596304628,0.508140217643735,3.61319074682065e-06,0.716391987539828,0.580185038410127,0.299285070598125,NA,NA,NA,NA,NA,3,2,3
2,1,0,1,1,0.742233333333333,0.65864358974359,0.37730258912184,0.469039774910517,0.000655098649634533,0.226255283504725,0.694941885769367,0.888026796281338,2,0,0,0.560806168958992,0.599146358322645,3,2,3
4,1,1,1,0,0.908330769230769,0.624107692307692,0.53677026467191,0.466146820185603,0.0263297687637425,0.195936991088092,0.48022447694093,0.84075195286423,1,1,1,0.915649645663989,0.613072526792864,2,2,4
3,1,1,1,0,0.902835897435897,0.619092307692308,0.404511313955883,0.523519101569502,5.76397690899011e-05,0.394607121311128,0.393371609039605,0.636922058276832,NA,NA,NA,NA,NA,3,2,4
3,1,1,0,1,0.831846153846154,0.443305128205128,0.409049475367421,0.52793703618213,6.87774123577789e-05,0.190877636894584,0.164271406643093,0.834178458526731,NA,NA,NA,NA,NA,3,2,3
2,1,1,0,0,0.793094871794872,0.500169230769231,0.440698072064277,0.515424932663838,0.0137396365347036,0.733795443922281,0.845339259319007,0.113953284732997,1,1,0,0.661373059690139,0.484142419398456,3,2,2
2,1,0,0,0,0.674194871794872,0.552230769230769,0.388529099479684,0.494903430744077,0.000156576767927907,0.337010238692164,0.650287830084562,0.756738004647195,2,0,0,0.526847731241879,0.539016196311234,3,2,3
3,1,1,1,1,0.980730769230769,0.846028205128205,0.553140178900882,0.430238918425834,8.79414101011555e-05,0.548647072538733,0.658776968345046,0.554274163767695,NA,NA,NA,NA,NA,2,3,3
2,2,0,0,1,0.488033333333333,0.532107692307692,0.3136504248538,0.468652122047104,7.94077692489736e-10,0.651161356829107,0.633290471881628,0.730993306823075,1,0,0,0.51315674554039,0.511356917443808,2,4,4
3,1,1,0,0,0.852761538461538,0.566558974358974,0.365635568874355,0.386746969938917,0.375096681668612,0.331621422432363,0.451977346651256,0.748271199688315,NA,NA,NA,NA,NA,4,3,2
4,1,1,1,0,0.993028205128205,0.749015384615385,0.49614693914553,0.491658385240127,0.885744208829963,0.452003284916282,0.805809392407537,0.147542681917548,1,1,1,0.989291238653927,0.671414683818887,2,2,2
1,1,0,0,0,0.550207692307692,0.478589743589744,0.364899041729789,0.395903089239932,0.197879677634557,0.278591660223901,0.45057217720896,0.683047928661108,NA,NA,NA,NA,NA,4,3,3
3,1,1,1,1,0.825310256410256,0.581117948717949,0.519558129159197,0.351826815564208,2.2688846357255e-09,0.122301568090916,0.62873820643872,0.640234730578959,NA,NA,NA,NA,NA,2,4,3
3,1,1,1,0,0.966474358974359,0.763982051282051,0.332612105713293,0.310267895421225,0.272016160225689,0.714092793129385,0.777184683270752,0.720281568542123,NA,NA,NA,NA,NA,4,4,3
2,2,0,1,0,0.576346153846154,0.592523076923077,0.331360592807523,0.339533215042226,0.700096377867841,0.575897928886116,0.442296428605914,0.367085166089237,2,0,0,0.571290189612869,0.580047810290768,4,4,3
2,2,1,0,1,0.511364102564103,0.648861538461538,0.351116332772663,0.452524071898683,7.52829460068938e-05,0.209361631795764,0.505679937638342,0.822285204008222,2,0,0,0.488539606060131,0.575286922920746,2,3,4
2,1,0,1,1,0.597166666666667,0.594310256410256,0.342387711193099,0.47777218886841,2.60068768964672e-07,0.124372356571257,0.397596980445087,0.708021329157054,2,0,0,0.549279476322055,0.608081573711501,4,2,3
2,2,0,1,0,0.8478,0.907528205128205,0.389397656103323,0.438548999241145,0.0609307148655083,0.440771988965571,0.60940423887223,0.483072935603559,2,0,1,0.615643319915053,0.668418717473994,3,4,2
3,1,1,1,1,0.926653846153846,0.599733333333333,0.389421957932234,0.46548996080104,0.00506852602812091,0.479556529596448,0.401558834686875,0.146302942745388,NA,NA,NA,NA,NA,3,2,3
2,2,0,0,0,0.544428205128205,0.622102564102564,0.457053467635248,0.473419634179639,0.578122294148966,0.521194967254996,0.555101753398776,0.873906214162707,2,0,0,0.544427999327943,0.620893319171965,2,2,4
3,1,1,0,1,0.973579487179487,0.568187179487179,0.374085112001316,0.467681822680277,0.000474729257469386,0.794811436720192,0.597198335826397,0.685319266468287,NA,NA,NA,NA,NA,4,2,2
